feature,importance
trip_distance,328232052.1784668
ratecode_id,38144601.14581299
pickup_hour,22303741.25378418
do_location_id,19156667.160247803
pu_location_id,12712727.067077637
pickup_dayofweek,7275192.382598877
pickup_month,1613990.664855957
is_rush_hour,1547957.79196167
is_airport_trip,916200.4660339355
is_weekend,138779.6226196289
passenger_count,27712.697296142578
